Drug_ID,Food,Recommendation,Time,Recommendation_text
DB00722,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00724,food,Take,,Take with or without food.
DB00731,food,Take,30 minutes before,Take with food. Take up to 30 minutes before meals.
DB00734,food,Take,,Take with or without food. Food does not affect the rate or extent of absorption.
DB00736,food,Take,,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00737,alcohol,Avoid,,Avoid alcohol. Alcohol may cause additive CNS depressant effects.
DB00740,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00741,alcohol,Avoid,,Avoid alcohol.
DB00744,alcohol,Avoid,,Avoid excessive or chronic alcohol consumption.
DB00744,food,Take,,"Take with food. The AUC and Cmin of zileuton extended-release tablets are increased by food, and therefore should be taken with meals."
DB00744,food,Take,,Take with or without food. ZYFLO (zileuton) regular release tablets can be taken with or without food.
DB00745,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00748,food,Do_not_take,,Take on an empty stomach.
DB00749,alcohol,Avoid,,Avoid alcohol.
DB00749,food,Take,,Take with food. Food reduces irritation.
DB00750,food,Take,,"Take separate from meals. This is only required when prilocaine is used in the mouth, as it may cause numbness, which can cause bite injury when eating."
DB00752,tyramine,Avoid,,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans."
DB00754,food,Take,,Take after a meal. This may reduce gastrointestinal upset.
DB00755,food,Take,,Take with food. Tretinoin absorption may be increased by co-administration with food.
DB00757,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00758,food,Take,,Take with or without food.
DB00759,milk,Avoid,,Avoid milk and dairy products.
DB00759,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00759,water,Take,,Take with a full glass of water.
DB00761,water,Take,,Take with a full glass of water.
DB00761,food,Take,,Take with food. This reduces gastrointestinal irritation.
DB00766,food,Take,,Take with food. Take at the beginning of a meal to reduce gastric irritation.
DB00771,food,Take,before,Take before a meal.
DB00774,potassium_containing_products,Increase,,Increase consumption of potassium-rich foods. This medication may cause a loss of potassium.
DB00776,alcohol,Avoid,,Avoid alcohol. Oxcarbazepine has CNS depressant properties that may be potentiated by co-administration with alcohol.
DB00776,food,Take,,Take with or without food. Co-administration with food does not significantly affect absorption.
DB00779,fluids,Drink,,Drink plenty of fluids.
DB00779,food,Take,,Take with food. Food reduces irritation.
DB00780,alcohol,Avoid,,Avoid alcohol.
DB00780,tyramine,Avoid,,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans."
DB00780,caffeine,Limit,,Limit caffeine intake. Excess caffeine intake can also cause a hypertensive crisis.
DB00782,food,Take,30 minutes before,Take before a meal. Take before a meal. Propantheline bromide should be taken 15 to 30 minutes before meals.
DB00784,alcohol,Avoid,,Avoid alcohol.
DB00784,food,Take,,Take with food.
DB00787,fluids,Drink,,Drink plenty of fluids. Dehydration with acyclovir predisposes patients to nephrotoxicity.
DB00787,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00788,food,Take,,Take with food. Food reduces GI irritation.
DB00790,herb,Avoid,,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
DB00790,salt intake,Limit,,Limit salt intake. Salt may attenuate the antihypertensive effect.
DB00790,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00794,alcohol,Avoid,,Avoid alcohol.
DB00794,St_Johns_Wort,Avoid,,Avoid St John's Wort.
DB00795,fluids,Drink,,Drink plenty of fluids. Inadequate fluid intake is associated with crystalluria and stone formation.
DB00796,,Take,same time every day,Take at the same time every day.
DB00796,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00800,food,Do_not_take,,Take on an empty stomach. Orally administered fenoldopam should be taken in a fasted state for optimal absorption.
DB00806,caffeine,Limit,,Limit caffeine intake.
DB00806,food,Take,,"Take with food. Administration with food may reduce irritation. Co-administration with food modestly increases the mean pentoxifylline AUC and maximum plasma concentrations (1.1- and 1.3-fold, respectively) achieved with an extended-release tablet."
DB00808,potassium_containing_products,Increase,,Increase consumption of potassium-rich foods. Indapamide my cause potassium depletion leading to hypokalemia.
DB00808,food,Take,,Take with or without food.
DB00810,alcohol,Avoid,,Avoid alcohol.
DB00810,food,Take,,Take with food.
DB00811,alcohol,Avoid,,Avoid alcohol. Ribavirin is used to treat chronic hepatitis C infection; ingesting alcohol may worsen this infection.
DB00811,food,Take,,Take with food. Taking ribavirin with a high-fat meal slows the absorption and increases the AUC and Cmax of ribavirin.
DB00812,alcohol,Avoid,,Avoid alcohol.
DB00812,food,Take,,Take with food. Food reduces irritation.
DB00813,alcohol,Avoid,,Avoid alcohol.
DB00814,alcohol,Avoid,,Avoid alcohol. The risk of gastrointestinal bleeding may be increased.
DB00814,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00815,food,Take,,"Take after a meal. When Sodium lauryl sulfate is formulated in paste form for oral health, it should be used after meals."
DB00816,caffeine,Limit,,Limit caffeine intake.
DB00816,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00819,fluids,Drink,,Drink plenty of fluids.
DB00819,food,Take,6 hours before,Take with food. Take at least 6 hours before bedtime.
DB00820,food,Take,,Take with or without food.
DB00822,alcohol,Avoid,,Avoid alcohol. Avoid alcohol for up to 14 days after discontinuation.
DB00822,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00828,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00829,alcohol,Avoid,,Avoid alcohol.
DB00829,food,Do_not_take,,Take on an empty stomach. Food may decrease absorption and time to therapeutic effect.
DB00833,food,Take,,Take with or without food.
DB00834,food,Take,,Take with food. Taking mifepristone with meals has been shown to increase serum levels of mifepristone.
DB00835,alcohol,Avoid,,Avoid alcohol.
DB00835,food,Take,,Take with food.
DB00839,food,Take,,Take with food. Taking tolazamide with breakfast may help reduce the risk of hypoglycemia.
DB00843,alcohol,Avoid,,Avoid alcohol.
DB00843,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00845,food,Take,,Take with food. Prescribing information for clofazimine recommends its administration with a meal.
DB00847,food,Do_not_take,30 minutes before,Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.
DB00847,food,Take,,Take with or without food. The immediate release preparation can be taken with or without food.
DB00848,food,Do_not_take,,Take on an empty stomach.
DB00851,food,Do_not_take,,Take on an empty stomach. Fasting for four to six hours before treatment may be beneficial to reduce nausea and vomiting associated with Dacarbazine therapy.
DB00852,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00853,,Take,same time every day,Take at the same time every day.
DB00853,food,Do_not_take,,Take on an empty stomach. Food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting.
DB00854,alcohol,Avoid,,Avoid alcohol.
DB00854,food,Take,,Take with or without food. Food does not significantly affect absorption.
DB00857,food,Take,,Take with or without food.
DB00859,fluids,Drink,,Drink plenty of fluids.
DB00859,food,Do_not_take,,Take on an empty stomach. Co-administration with food decreases bioavailability.
DB00860,alcohol,Avoid,,Avoid alcohol.
DB00860,food,Take,,Take with food. Food reduces irritation.
DB00861,alcohol,Avoid,,Avoid alcohol.
DB00861,food,Take,,Take with food. Food reduces irritation.
DB00862,food,Take,,Take with or without food.
DB00863,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00864,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00864,St_Johns_Wort,Exercise_caution,,"Exercise caution with St John's Wort. This herb induces the CYP3A4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted."
DB00864,,Take,same time every day,Take at the same time every day.
DB00864,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption.
DB00864,antacids,Take,,"Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity."
DB00868,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00874,water,Take,,Take with a full glass of water.
DB00874,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00875,food,Take,,Take with or without food. Food has negligible effects on drug pharmacokinetics.
DB00876,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00877,food,Take,,Take with or without food. Take consistently with regard to food.
DB00878,food,Avoid,,Take separate from meals. May affect the taste of food and beverages. Avoid eating or drinking for 30 minutes following use.
DB00879,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00881,fatty_foods,Avoid,,Avoid fatty foods.
DB00881,herb,Avoid,,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
DB00881,salt intake,Limit,,Limit salt intake. Salt may attenuate the antihypertensive effect.
DB00882,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00883,food,Take,,Take with or without food. Food decreases drug absorption.
DB00884,vitamin_supplements,Administer,,Administer vitamin supplements. Patients may require supplemental vitamin D.
DB00884,ions,Avoid,,"Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication."
DB00884,food,Do_not_take,,Take on an empty stomach.
DB00884,water,Take,,Take with a full glass of water.
DB00887,food,Take,,Take with food. Food reduces irritation.
DB00889,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00900,alcohol,Avoid,,Avoid alcohol.
DB00900,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00903,food,Take,,Take with food. Food reduces irritation.
DB00904,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00906,food,Take,,Take with food.
DB00908,grapefruit_products,Exercise_caution,,"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4."
DB00908,St_Johns_Wort,Exercise_caution,,Exercise caution with St John's Wort.
DB00908,antacids,Take,,Take separate from antacids. Antacids may reduce the absorption of quinidine.
DB00908,food,Take,,Take with or without food. Taking quinidine with food may slow its absorption.
DB00909,food,Take,,Take with or without food.
DB00910,food,Take,,Take with or without food.
DB00911,alcohol,Avoid,,"Avoid alcohol. Avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches."
DB00911,food,Administer,,Take with food. Administering with food may reduce gastrointestinal upset and epigastric discomfort caused by tinidazole but does not affect bioavailability.
DB00912,food,Take,before,Take before a meal. Repaglinide should be taken before each meal of the day.
DB00913,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00915,alcohol,Avoid,,Avoid alcohol.
DB00915,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00916,alcohol,Avoid,,"Avoid alcohol. Unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol."
DB00916,food,Take,,"Take with or without food. The extended release formulation should, however, be taken without food."
DB00918,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00920,food,Take,,Take with or without food. The co-administration of food does not significantly affect ketotifen disposition.
DB00921,food,Take,,"Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved."
DB00924,alcohol,Avoid,,Avoid alcohol. Cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol.
DB00926,alcohol,Avoid,,Avoid alcohol. Alcohol should be completely avoided for up to 2 months after discontinuation.
DB00926,food,Take,,Take with food. Food increases absorption.
DB00927,food,Take,,"Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent."
DB00929,food,Take,,Take with food. Food decreases incidence of diarrhea.
DB00930,fluids,Drink,,Drink plenty of fluids.
DB00930,food,Take,,Take with food.
DB00932,food,Take,,"Take with or without food. However, if taken with ritonavir tablets, tipranavir should be taken with food."
DB00933,food,Take,,Take with food. Food reduces irritation.
DB00934,caffeine,Limit,,Limit caffeine intake.
DB00934,food,Take,,Take with or without food.
DB00937,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00939,food,Take,,Take with or without food. Taking meclofenamic acid with food reduces the rate and extent of its absorption; however it also reduces gastrointestinal upset caused by meclofenamic acid.
DB00943,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00945,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00945,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00945,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00945,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00945,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00945,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00945,food,Take,,Take after a meal. This reduces irritating gastrointestinal effects.
DB00945,water,Take,,Take with a full glass of water.
DB00946,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00946,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00946,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00946,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00946,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00946,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00946,vitamin_K,Ensure,,Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation.
DB00946,grapefruit_products,Exercise_caution,,Exercise caution with grapefruit products.
DB00946,St_Johns_Wort,Exercise_caution,,Exercise caution with St John's Wort.
DB00949,alcohol,Avoid,,Avoid alcohol.
DB00950,food,Take,,Take with or without food. Co-administration with food does not significantly affect absorption.
DB00951,vitamin_supplements,Administer,,Administer vitamin supplements. Vitamin B6 (pyridoxine) should be given with isoniazid to prevent deficiency.
DB00951,chocolate,Avoid,,"Avoid chocolate. Chocolate contains caffeine, which should be limited during isoniazid therapy."
DB00951,histamine,Avoid,,"Avoid histamine-containing foods and supplements. Histamine-containing foods (e.g., skipjack, tuna, other tropical fish) can cause headaches, sweating, palpitations, flushing, and hypotension."
DB00951,tyramine,Avoid,,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages."
DB00951,caffeine,Limit,,Limit caffeine intake.
DB00951,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00951,antacids,Take,,Take separate from antacids. Taking this medication with antacids can reduce absorption.
DB00952,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00953,food,Take,,"Take with or without food. However, the onset of action may be delayed by approximately 1 hour when taken with food."
DB00956,alcohol,Avoid,,"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur."
DB00956,food,Take,,Take with or without food. Cmax and AUC are not altered by food in a clinically significant way.
DB00957,,Take,same time every day,Take at the same time every day.
DB00957,food,Take,,Take with or without food.
DB00959,alcohol,Avoid,,Avoid alcohol.
DB00959,food,Take,,Take with food. Food reduces GI irritation.
DB00960,alcohol,Avoid,,Avoid alcohol. Alcohol may aggravate signs and symptoms of overdose.
DB00960,food,Take,,Take with or without food. Food does not significantly affect absorption.
DB00966,food,Take,,Take with or without food. Bioavailability may be slightly reduced by taking telmisartan with food.
DB00967,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00968,food,Take,,Take with or without food. Drug pharmacokinetics is unaffected.
DB00969,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00972,alcohol,Avoid,,Avoid alcohol. Ingesting alcohol may cause additive CNS depressant effects.
DB00973,food,Take,,Take with or without food. Co-administration with food does not affect absorption.
DB00974,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00974,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00974,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00974,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00974,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00974,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00975,food,Take,,Take with or without food. Taking dipyridamole extrended release capusels with a high-fat meal minimally reduces it's AUC and Cmax.
DB00976,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00978,ions,Avoid,4 hours before,"Avoid multivalent ions. Separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing."
DB00978,food,Take,,Take with or without food. The rate and extent of absorption may be reduced when lomefloxacin is taken with food.
DB00980,alcohol,Avoid,,Avoid alcohol.
DB00980,fat,Do_not_take,,Do not take with or immediately after a high-fat meal.
DB00982,alcohol,Avoid,,Avoid alcohol. Alcohol with isotretinoin can lead to inflammation of the liver.
DB00982,vitamin_a_supplements,Avoid,,Avoid vitamin A supplements.
DB00982,food,Take,,Take with food. High-fat food increases drug absorption.
DB00985,alcohol,Avoid,,Avoid alcohol.
DB00986,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00989,food,Administer,,Take with food. Administering rivastigmine capsules with food delays absorption but increases the AUC.
DB00990,food,Take,,Take with food. The manufacturer recommends administration following a meal.
DB00991,food,Take,,Take with food. Take once daily after breakfast. Food decreases the rate but not the extent of absorption.
DB00993,food,Take,,Take with food. Food reduces irritation.
DB00995,food,Take,,Take with food. Food reduces irritation.
DB00996,alcohol,Avoid,,Avoid alcohol. Gabapentin possesses CNS depressant activity that may be potentiated by co-administration with alcohol.
DB00996,food,Take,,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00998,food,Take,,"Take with or without food. Food does not affect bioavailability, but delays maximum concentrations by one hour."
DB00999,potassium_containing_products,Increase,,Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.
DB00999,salt intake,Avoid,,"Limit salt intake. Avoid excessive salt, unless recommended by a physician."
DB00999,food,Take,,Take with or without food.
DB01003,food,Take,30 minutes before,Take before a meal. Take cromolyn sodium 30 minutes before meals.
DB01004,food,Take,,Take with food. Food increases bioavailability.
DB01005,fluids,Drink,,Drink plenty of fluids.
DB01005,food,Take,,Take with or without food.
DB01006,food,Take,,Take with or without food. Food slows absorption without decreasing the quantity absorbed.
DB01008,fluids,Drink,,Drink plenty of fluids.
DB01008,grapefruit_products,Exercise_caution,,Exercise caution with grapefruit products.
DB01008,St_Johns_Wort,Exercise_caution,,Exercise caution with St John's Wort.
DB01008,,Take,same time every day,Take at the same time every day.
DB01009,alcohol,Avoid,,Avoid alcohol.
DB01009,food,Take,,Take with food. Food reduces irritation.
DB01011,food,Take,,Take with food. Take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test.
DB01012,food,Take,,Take with food. Food markedly increases product bioavailability.
DB01014,food,Take,,Take with or without food.
DB01016,food,Take,30-60 minutes before,Take before a meal. Take 30-60 minutes before breakfast.
DB01017,ions,Avoid,,"Avoid multivalent ions. Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours."
DB01017,food,Take,,Take with or without food.
DB01018,alcohol,Avoid,,Avoid alcohol.
DB01019,food,Do_not_take,,Take on an empty stomach. Nausea and vomiting may occur if taken after food.
DB01020,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01023,grapefruit_products,Avoid,,Avoid grapefruit products.
DB01023,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01024,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take mycophenolic acid at least 1 hour before or 2 hours after eating.
DB01026,alcohol,Avoid,,Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury.
DB01026,food,Take,,Take with food. Food decreases gastrointestinal irritation caused by ketoconazole.
DB01029,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01030,food,Take,,Take with or without food.
DB01032,alcohol,Avoid,,Avoid alcohol.
DB01032,fluids,Drink,,Drink plenty of fluids.
DB01032,food,Take,,Take with food. Food reduces irritation.
DB01033,fluids,Drink,,Drink plenty of fluids.
DB01033,food,Do_not_take,,Take on an empty stomach.
DB01035,alcohol,Avoid,,Avoid alcohol.
DB01035,food,Take,,Take with food. Food reduces irritation.
DB01036,food,Take,,Take with food.
DB01037,food,Take,5 minutes before,Take before a meal. Take selegiline oral disintegrating tablets before breakfast and at least 5 minutes before or after any food or drink. Taking selegiline with food reduces the AUC by approximately 60%.
DB01037,food,Take,,Take with food. Take selegiline capsules or tablets with breakfast and lunch. Food can increase the exposure to selegiline by 3-4 fold.
DB01039,food,Take,,Take with food. Bioavailability is increased 2- to 3-fold when taken with food.
DB01041,food,Take,,Take after a meal. Wait at least 1 hour after eating before taking thalidomide.
DB01042,fluids,Drink,,Drink plenty of fluids.
DB01042,food,Do_not_take,,Take on an empty stomach. Food decreases absorption and decreases bioavailabilty by approximately 30%.
DB01043,water,Take,,Take with a full glass of water.
DB01043,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01044,fluids,Drink,,Drink plenty of fluids.
DB01044,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01045,alcohol,Avoid,,Avoid alcohol.
DB01045,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB01045,water,Take,,Take with a full glass of water.
DB01046,water,Take,,Take with a full glass of water.
DB01046,food,Take,,Take with food. Taking lubiprostone with food may reduce nausea.
DB01048,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01049,food,Take,,Take with or without food. Taking ergoloid mesylate with food may reduce gastrointestinal upset.
DB01050,alcohol,Avoid,,Avoid alcohol.
DB01050,food,Take,,Take with food. Food reduces irritation.
DB01054,food,Take,,Take with or without food.
DB01058,grapefruit_products,Avoid,,Avoid grapefruit products.
DB01058,food,Take,,Take with food.
DB01059,fluids,Drink,,Drink plenty of fluids.
DB01059,caffeine,Limit,,Limit caffeine intake.
DB01059,food,Do_not_take,,Take on an empty stomach.
DB01060,food,Take,,Take with food.
DB01062,alcohol,Avoid,,Avoid alcohol.
DB01062,food,Take,,Take with or without food.
DB01065,food,Take,,Take after a meal. Administration of melatonin after eating slows the absorption and reduces the Cmax of melatonin.
DB01066,ions,Avoid,,"Avoid multivalent ions. Avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours."
DB01067,food,Take,30-60 minutes before,Take before a meal. Take 30-60 minutes before breakfast.
DB01068,alcohol,Avoid,,Avoid alcohol.
DB01068,caffeine,Limit,,Limit caffeine intake.
DB01068,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01072,food,Take,,Take with food. Food increases product absorption and reduces pharmacokinetic variability.
DB01073,food,Take,,"Take with or without food. Administration with food delays absorption, but not to a clinically significant extent."
DB01075,alcohol,Avoid,,Avoid alcohol.
DB01075,food,Take,30 minutes before,Take before a meal. Take 30 minutes before a meal or 30 minutes before departure for motion sickness.
DB01076,food,Take,,Take with or without food. Food decreases absorption but not to a clinically significant extent.
DB01077,ions,Avoid,,Avoid multivalent ions. Separate administration from multivalent ions by at least two hours.
DB01077,food,Do_not_take,,Take on an empty stomach.
DB01077,water,Take,,Take with a full glass of water.
DB01079,food,Take,30 minutes before,"Take before a meal. To increase absorption, take 30 minutes before a meal."
DB01080,food,Take,,Take with or without food.
DB01080,water,Take,,Take with plain water. Only mix vigabatrin oral solution powder with plain water.
DB01081,alcohol,Avoid,,Avoid alcohol.
DB01081,food,Take,,Take with food.
DB01083,food,Take,,Take with food. Take with meals or up to 1 hour after a meal. Doses may be skipped for missed meals or fat-free meals.
DB01085,food,Take,,Take with or without food. The Cmax of pilocarpine is slightly reduced when taken with food.
DB01087,food,Take,,Take with food. Food decreases irritation.
DB01095,food,Take,,Take with or without food. Should be taken consistently in regards to meals.
DB01097,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01098,food,Take,,Take with or without food. Co-administration with food does not affect absorption.
DB01100,St_Johns_Wort,Exercise_caution,,Exercise caution with St John's Wort.
DB01101,food,Take,,Take with food. Take within 30 minutes of the end of breakfast and dinner.
DB01104,St_Johns_Wort,Avoid,,Avoid St John's Wort.
DB01104,food,Take,,Take with or without food.
DB01107,food,Take,,Take with or without food. The absorption is unaffected by food.
DB01109,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB01109,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB01109,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB01109,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
